Log File,Acc score,Peak score,HF score
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_54_58.ulg,0.9188717466502727,1,0.45076883335416745
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_49_2018-12-4-17-04-50.ulg,0.9403354856784708,1,0.45379983744551555
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_22_39.ulg,0.7772408342316383,0.9999153285038626,0.43021060063246086
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_21_35.ulg,0.9479691777522937,1,0.45558608935905
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_38_23.ulg,0.9326396842120563,1.0,0.4510312253929307
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_43_08.ulg,0.8507075251435834,0.9998785425687441,0.42839176950108254
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/08_53_10.ulg,0.705548321650809,0.9998958088342381,0.4253085527737325
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_13_33.ulg,0.9217344157379872,0.9990868985880184,0.45178221429017357
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_10_07.ulg,0.8190353486532821,0.9995596152322561,0.4437501791538908
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_10_44.ulg,0.8677681302627953,0.9999167499403679,0.4317890804408963
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_46_57.ulg,0.8990407242906668,0.9997283117649227,0.44826442310252534
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_39_14.ulg,0.8562043527429903,1.0,0.45203244020617156
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_40_17.ulg,0.9378951187511257,1,0.45317668471838
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_16_33.ulg,0.8589582644380219,0.9999024722973691,0.4361754721031149
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_52_18.ulg,0.922812743395867,1,0.45236644308272267
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_45_21.ulg,0.9328732649845812,1,0.453764828393644
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_51_48.ulg,0.9305274869588885,1,0.4533619147020533
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_49_01.ulg,0.9594848598623996,1,0.4548185971894358
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_274_2019-8-19-14-54-58.ulg,0.7165169930648951,0.9999709990658954,0.4073202597811595
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_58_36.ulg,0.9396854901651025,0.995859388698737,0.45164844359233064
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_32_38.ulg,0.8363713521224585,0.9996831946232123,0.4418767403839181
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_23_54.ulg,0.8535900215909983,0.9994554828661275,0.4462729807158184
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_26_54.ulg,0.8546080763967525,0.9990922601940335,0.4482659817870899
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_22_15.ulg,0.7813465288696333,0.9998297048812332,0.43419886992345763
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_00_11.ulg,0.9069521114751513,0.9999527048401612,0.4400874878143062
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_43_24.ulg,0.9159403016724996,1,0.4524680518746107
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_42_56.ulg,0.8455871543331576,0.9999566970614989,0.41661085768826
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_59_11.ulg,0.898715975077245,0.9991079239029199,0.44993625561954526
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_37_05.ulg,0.9042794001429377,0.9996965831458308,0.4465798107827204
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_14_2019-4-17-15-58-16.ulg,0.8902482955958091,0.9999843472436021,0.413795112910753
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_38_44.ulg,0.8096448414010667,0.9996892006871412,0.4416178766489524
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_272_2019-8-19-14-24-06.ulg,0.7813465288696333,0.9998297048812332,0.43419886992345763
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_43_24.ulg,0.925536126046282,1,0.45272948294142357
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_49_24.ulg,0.9080269150124596,0.9985898868808066,0.4505155049643966
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_57_2018-12-5-10-17-38.ulg,0.9356979552493073,1,0.4550435787301424
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_42_13.ulg,0.9147374760811567,0.9999780242889137,0.4434601150329655
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_51_18.ulg,0.8149072599559711,0.99991962524198,0.4269532375083508
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_41_44.ulg,0.8698695981237814,1,0.45502303056464205
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_28_18.ulg,0.9809945418334407,1,0.4547482736816818
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/08_07_03.ulg,0.8801363398111659,0.9997714941617618,0.44878283542812963
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_49_22.ulg,0.7680830509419081,1,0.4486401533268665
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/2019-01-07_13_54_09.ulg,0.9274457494690765,1.0,0.45262676751398834
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_48_55.ulg,0.935868379052841,1,0.45378072126983643
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_28_30.ulg,0.8508552736094176,0.9989638940443766,0.44803695516711584
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_24_35.ulg,0.7952567734351198,0.9999681335606726,0.414410191560071
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_45_29.ulg,0.8586395323053276,0.9985689217133032,0.4490979368492896
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_57_43.ulg,0.944157515836207,1,0.45356261300335243
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_43_41.ulg,0.9249841990212241,1,0.4536676217608419
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_19_58.ulg,0.9763995989229802,1,0.45431637627048005
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_30_09.ulg,0.8581554052156125,0.9995184705022312,0.44602567474744387
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_42_07.ulg,0.7920574460158594,0.9986566546967128,0.44680729281211995
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_34_05.ulg,0.7865227899056467,0.9996979350248224,0.44285821324308744
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_42_18.ulg,0.818932705083394,0.999814502261621,0.4403731940819213
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/15_21_31.ulg,0.9293704350907798,0.9998831705723681,0.44677833081522955
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_17_52.ulg,0.7169602126957018,0.9998184017357651,0.43027274437157054
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_52_14.ulg,0.8319425729513893,0.9996718574538683,0.4436155431996159
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_39_38.ulg,0.9807155563100185,1,0.4544936089068124
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_47_52.ulg,0.784343545362273,1,0.4520125374113123
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_40_32.ulg,0.9775412865911728,1,0.45478390776552835
